Name of car,Company name,Year,Price,Kms driven,Fuel_type,Age
Hyundai i20,Hyundai,2014,449999.0,23000.0,Petrol,7
Hyundai Eon,Hyundai,2014,174999.0,14000.0,Petrol,7
Hyundai i10,Hyundai,2012,244999.0,38000.0,Petrol,9
Hyundai i20 Active,Hyundai,2015,574999.0,35000.0,Diesel,6
Datsun Redi GO,Datsun,2017,244999.0,22000.0,Petrol,4
Toyota Etios Liva,Toyota,2011,239999.0,41000.0,Petrol,10
Hyundai Accent,Hyundai,2010,99999.0,45000.0,Petrol,11
Hyundai Verna,Hyundai,2014,489999.0,44000.0,Diesel,7
Maruti Suzuki Swift,Maruti,2013,324999.0,45000.0,Diesel,8
Toyota Fortuner,Toyota,2011,1074999.0,52000.0,Diesel,10
Hyundai i10 Sportz,Hyundai,2012,230000.0,34000.0,Petrol,9
Mahindra Bolero Power Plus SLE,Mahindra,2018,699000.0,1800.0,Diesel,3
Mahindra XUV500,Mahindra,2015,1000000.0,15000.0,Diesel,6
Honda City 1.5 V MT Exclusive,Honda,2010,240000.0,400000.0,Petrol,11
Chevrolet Spark LT 1.0 Airbag,Chevrolet,2009,110000.0,44000.0,Petrol,12
Mahindra Jeep MM 550 XDB,Mahindra,2019,390000.0,60.0,Diesel,2
Renault Duster 110PS Diesel RxZ,Renault,2012,501000.0,35000.0,Diesel,9
Mahindra XUV500,Mahindra,2016,1130000.0,72000.0,Diesel,5
Tata Indigo eCS VX CR4 BS IV,Tata,2014,250000.0,40000.0,Diesel,7
Mahindra Bolero SLE BS IV,Mahindra,2013,330000.0,80200.0,Diesel,8
Force Motors Force One LX ABS 7 STR,Force,2015,580000.0,3200.0,Diesel,6
Skoda Rapid Elegance 1.6 TDI CR MT,Skoda,2013,340000.0,48000.0,Diesel,8
Tata Vista Quadrajet VX,Tata,2011,120000.0,90000.0,Diesel,10
Maruti Suzuki Alto K10 VXi AT,Maruti,2015,265000.0,12000.0,Petrol,6
Maruti Suzuki SX4,Maruti,2012,265000.0,46000.0,Diesel,9
Maruti Suzuki Zen LXi BS III,Maruti,2003,85000.0,69900.0,Petrol,18
Mahindra Jeep CL550 MDI,Mahindra,2019,379000.0,0.0,Diesel,2
Hyundai i10 Magna 1.2,Hyundai,2011,175000.0,45000.0,Petrol,10
Maruti Suzuki Alto 800,Maruti,2015,219000.0,5000.0,Petrol,6
Maruti Suzuki Swift Dzire Tour LDi,Maruti,2016,350000.0,166000.0,Diesel,5
Honda City ZX EXi,Honda,2008,149000.0,42000.0,Petrol,13
Mahindra Jeep CL550 MDI,Mahindra,2018,385000.0,588.0,Diesel,3
Mahindra Jeep MM 550 XDB,Mahindra,2006,425000.0,122.0,Diesel,15
Chevrolet Beat Diesel,Chevrolet,2017,150000.0,62000.0,Diesel,4
Honda City 1.5 S MT,Honda,2010,225000.0,70000.0,Petrol,11
Hyundai Verna 1.4 VTVT,Hyundai,2014,375000.0,36000.0,Petrol,7
Toyota Innova 2.5 E MS 7 STR BS IV,Toyota,2012,770000.0,0.0,Diesel,9
Maruti Suzuki Maruti 800 Std – Befo,Maruti,1995,30000.0,55000.0,Petrol,26
Toyota Etios,Toyota,2011,275000.0,36000.0,Diesel,10
Volkswagen Polo,Volkswagen,2015,330000.0,38000.0,Diesel,6
Maruti Suzuki Swift,Maruti,2014,335000.0,55000.0,Diesel,7
Hyundai Elite i20 Asta 1.4 CRDI,Hyundai,2015,450000.0,20000.0,Diesel,6
Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2012,225000.0,40000.0,Petrol,9
Maruti Suzuki Versa DX2 8 SEATER BSIII,Maruti,2004,80000.0,50000.0,Petrol,17
Tata Indigo LX TDI BS III,Tata,2016,130000.0,104000.0,Diesel,5
Volkswagen Vento Konekt Diesel Highline,Volkswagen,2011,245000.0,65000.0,Diesel,10
Mercedes Benz C Class 200 CDI Classic,Mercedes,2002,399000.0,41000.0,Petrol,19
Maruti Suzuki Ertiga VDi,Maruti,2013,450000.0,90000.0,Diesel,8
Honda City,Honda,2000,65000.0,80000.0,Petrol,21
Hyundai Santro Xing GLS,Hyundai,2006,75000.0,46000.0,Petrol,15
Maruti Suzuki Omni Limited Edition,Maruti,2001,70000.0,70000.0,Petrol,20
Hyundai Sonata Transform 2.4 GDi MT,Hyundai,2017,190000.0,36469.0,Diesel,4
Hyundai Elite i20 Sportz 1.2,Hyundai,2018,600000.0,7800.0,Petrol,3
Volkswagen Vento Konekt Diesel Highline,Volkswagen,2011,245000.0,65000.0,Diesel,10
Maruti Suzuki Alto 800 Lxi,Maruti,2017,240000.0,60000.0,Petrol,4
Maruti Suzuki Alto LXi BS III,Maruti,2011,155000.0,32000.0,Petrol,10
Honda Jazz S MT,Honda,2009,169999.0,24695.0,Petrol,12
Hyundai Grand i10 Sportz 1.2 Kappa VTVT,Hyundai,2017,450000.0,15141.0,Petrol,4
Maruti Suzuki Zen LXi BSII,Maruti,2001,40000.0,40000.0,Petrol,20
Mahindra Scorpio W Turbo 2.6DX 9 Seater,Mahindra,2012,165000.0,65000.0,Diesel,9
Maruti Suzuki Alto K10 VXi,Maruti,2014,270000.0,22000.0,Petrol,7
Hyundai Grand i10 Asta 1.2 Kappa VTVT,Hyundai,2016,280000.0,59910.0,Diesel,5
Mahindra XUV500 W8,Mahindra,2012,560000.0,100000.0,Diesel,9
Hyundai Creta 1.6 SX Plus Petrol,Hyundai,2016,950000.0,25000.0,Petrol,5
Hyundai i20 Magna O 1.2,Hyundai,2013,310000.0,35000.0,Petrol,8
Renault Duster 85 PS RxL Explore LE,Renault,2015,715000.0,65000.0,Diesel,6
Hyundai Grand i10 Sportz 1.2 Kappa VTVT,Hyundai,2014,340000.0,35000.0,Petrol,7
Honda Brio V MT,Honda,2012,235000.0,33000.0,Petrol,9
Mahindra TUV300 T4 Plus,Mahindra,2017,610000.0,68000.0,Diesel,4
Chevrolet Spark LS 1.0,Chevrolet,2010,95000.0,23000.0,Petrol,11
Mahindra TUV300 T8,Mahindra,2018,1000000.0,4500.0,Diesel,3
Maruti Suzuki Swift Dzire Tour LDi,Maruti,2015,220000.0,129000.0,Diesel,6
Nissan X Trail Select Variant,Nissan,2019,1200000.0,300.0,Diesel,2
Maruti Suzuki Alto 800 Vxi,Maruti,2015,230000.0,5000.0,Petrol,6
Ford Ikon 1.3 CLXi NXt Finesse,Ford,2001,45000.0,65000.0,Petrol,20
Toyota Fortuner 3.0 4x4 MT,Toyota,2010,940000.0,131000.0,Diesel,11
Tata Manza ELAN Quadrajet,Tata,2010,155555.0,111111.0,Petrol,11
Mercedes Benz A Class A 180 Sport Petrol,Mercedes,2013,1500000.0,14000.0,Petrol,8
Chevrolet Beat LS Diesel,Chevrolet,2016,210000.0,22000.0,Diesel,5
Ford EcoSport Trend 1.5L TDCi,Ford,2013,495000.0,38000.0,Diesel,8
Tata Indigo LS,Tata,2016,125000.0,70000.0,Diesel,5
Hyundai i20 Magna 1.2,Hyundai,2010,195000.0,36000.0,Petrol,11
Volkswagen Vento Highline Plus 1.5 Diesel AT,Volkswagen,2015,550000.0,34000.0,Diesel,6
Renault Kwid RXT,Renault,2015,270000.0,43000.0,Petrol,6
Ford EcoSport Titanium 1.5L TDCi,Ford,2014,500000.0,40000.0,Diesel,7
Honda Amaze 1.5 E i DTEC,Honda,2016,240000.0,160000.0,Diesel,5
Hyundai Verna 1.6 EX VTVT,Hyundai,2017,800000.0,12000.0,Petrol,4
BMW 5 Series 520d Sedan,BMW,2011,1299000.0,49000.0,Diesel,10
Skoda Superb 1.8 TFSI AT,Skoda,2011,530000.0,68000.0,Petrol,10
Audi Q3 2.0 TDI quattro Premium,Audi,2013,1499000.0,37000.0,Diesel,8
Mahindra Bolero DI BSII,Mahindra,2012,220000.0,59466.0,Diesel,9
Mahindra Scorpio S10,Mahindra,2015,900000.0,97200.0,Diesel,6
Ford Figo Duratorq Diesel Titanium 1.4,Ford,2012,250000.0,99000.0,Diesel,9
Maruti Suzuki Wagon R VXI BS IV,Maruti,2018,395000.0,25500.0,Petrol,3
Mahindra Logan Diesel 1.5 DLS,Mahindra,2009,130000.0,66000.0,Petrol,12
Tata Nano GenX XMA,Tata,2010,32000.0,44005.0,Petrol,11
Mahindra TUV300 T4 Plus,Mahindra,2016,540000.0,35000.0,Diesel,5
Mahindra TUV300 T4 Plus,Mahindra,2016,540000.0,35000.0,Diesel,5
Hyundai Elite i20 Magna 1.2,Hyundai,2015,405000.0,28000.0,Petrol,6
Hyundai Elite i20 Magna 1.2,Hyundai,2015,400000.0,30000.0,Petrol,6
Honda City SV,Honda,2017,760000.0,4000.0,Petrol,4
Maruti Suzuki Baleno Delta 1.2,Maruti,2016,500000.0,28000.0,Petrol,5
Ford Figo Petrol LXI,Ford,2011,175000.0,75000.0,Petrol,10
Mahindra Scorpio S10,Mahindra,2015,900000.0,97200.0,Diesel,6
Honda City,Honda,2017,750000.0,3000.0,Petrol,4
Hyundai Elite i20 Magna 1.2,Hyundai,2015,419000.0,20000.0,Petrol,6
Maruti Suzuki Versa DX2 8 SEATER BSIII,Maruti,2004,90000.0,50000.0,Petrol,17
Hyundai Eon Era Plus,Hyundai,2018,140000.0,2110.0,Petrol,3
Mitsubishi Pajero Sport Limited Edition,Mitsubishi,2015,1540000.0,43222.0,Petrol,6
Hyundai i10 Magna 1.2 Kappa2,Hyundai,2008,275000.0,100200.0,Petrol,13
Toyota Corolla H2,Toyota,2003,150000.0,100000.0,Petrol,18
Maruti Suzuki Swift Dzire Tour VXi,Maruti,2011,230000.0,65.0,Petrol,10
Tata Indigo CS eLS BS IV,Tata,2015,123000.0,100000.0,Diesel,6
Mahindra Scorpio S10,Mahindra,2015,900000.0,97200.0,Diesel,6
Mahindra Scorpio S10,Mahindra,2015,900000.0,97200.0,Diesel,6
Hyundai Xcent Base 1.1 CRDi,Hyundai,2016,300000.0,140000.0,Diesel,5
Honda City,Honda,2015,499999.0,55000.0,Petrol,6
Hyundai Accent Executive Edition,Hyundai,2009,165000.0,48000.0,Petrol,12
Maruti Suzuki Baleno Delta 1.2,Maruti,2016,498000.0,22000.0,Petrol,5
Tata Zest XE 75 PS Diesel,Tata,2018,480000.0,103553.0,Diesel,3
Maruti Suzuki Dzire LDI,Maruti,2017,488000.0,80000.0,Diesel,4
Tata Sumo Gold LX BS IV,Tata,2014,250000.0,99000.0,Diesel,7
Toyota Corolla Altis GL Petrol,Toyota,2010,220000.0,58000.0,Petrol,11
Maruti Suzuki Eeco 7 STR,Maruti,2013,290000.0,70000.0,LPG,8
Toyota Fortuner 3.0 4x2 MT,Toyota,2015,1525000.0,120000.0,Diesel,6
Mahindra XUV500 W6,Mahindra,2013,548900.0,49800.0,Diesel,8
Tata Tigor Revotron XZ,Tata,2019,650000.0,100.0,Diesel,2
Maruti Suzuki 800,Maruti,2001,55000.0,81876.0,Petrol,20
Maruti Suzuki Ertiga Vxi,Maruti,2015,550000.0,75000.0,Petrol,6
Maruti Suzuki Versa DX2 8 SEATER BSIII,Maruti,2004,90000.0,50000.0,Petrol,17
Honda Mobilio S i DTEC,Honda,2014,399000.0,44000.0,Diesel,7
Maruti Suzuki Ertiga,Maruti,2016,730000.0,55000.0,Diesel,5
Maruti Suzuki Vitara Brezza,Maruti,2017,725000.0,36000.0,Diesel,4
Hyundai Verna 1.6 CRDI E,Hyundai,2016,195000.0,56000.0,Diesel,5
Maruti Suzuki Swift VXI BSIII,Maruti,2007,130000.0,62000.0,Petrol,14
Toyota Fortuner 3.0 4x2 MT,Toyota,2015,1525000.0,120000.0,Diesel,6
Maruti Suzuki Omni Select Variant,Maruti,2014,190000.0,6020.0,Petrol,7
Honda Amaze,Honda,2013,250000.0,55700.0,Diesel,8
Tata Indica,Tata,2005,80000.0,42000.0,Petrol,16
Hyundai Santro Xing,Hyundai,2003,120000.0,50000.0,Petrol,18
Maruti Suzuki Zen Estilo,Maruti,2010,149000.0,35000.0,Petrol,11
Maruti Suzuki Wagon R LXI BS IV,Maruti,2014,250000.0,18500.0,Petrol,7
Maruti Suzuki Wagon R,Maruti,2007,120000.0,7000.0,Petrol,14
Honda Brio VX AT,Honda,2017,450000.0,11000.0,Petrol,4
Maruti Suzuki Zen LXi BSII,Maruti,2003,99999.0,53000.0,Petrol,18
Maruti Suzuki Zen Estilo LXI Green CNG,Maruti,2008,135000.0,23000.0,Petrol,13
Maruti Suzuki Wagon R Select Variant,Maruti,2016,225000.0,35500.0,Diesel,5
Maruti Suzuki Alto LXi BS III,Maruti,2010,99000.0,22134.0,Petrol,11
Renault Kwid RXT,Renault,2019,370000.0,1000.0,Petrol,2
Tata Nano Lx BSIV,Tata,2010,52000.0,9000.0,Petrol,11
Jaguar XE XE Portfolio,Jaguar,2016,2800000.0,8500.0,Petrol,5
Hyundai Eon Magna Plus,Hyundai,2014,190000.0,35000.0,Petrol,7
Honda City 1.5 S MT,Honda,2014,499000.0,22000.0,Petrol,7
Hindustan Motors Ambassador,Hindustan,2002,90000.0,25000.0,Diesel,19
Maruti Suzuki Ritz GENUS VXI,Maruti,2010,149000.0,40000.0,Petrol,11
Hyundai Grand i10 Magna AT 1.2 Kappa VTVT,Hyundai,2017,400000.0,20000.0,Petrol,4
Hyundai Eon D Lite Plus,Hyundai,2016,120000.0,87000.0,Petrol,5
Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2015,250000.0,55000.0,Petrol,6
Maruti Suzuki Wagon R VXI BS IV,Maruti,2017,375000.0,23000.0,Petrol,4
Honda Amaze 1.2 VX i VTEC,Honda,2014,381000.0,6000.0,Petrol,7
Maruti Suzuki Estilo VXi ABS BS IV,Maruti,2013,180000.0,65000.0,Petrol,8
Maruti Suzuki Vitara Brezza LDi O,Maruti,2016,580000.0,25000.0,Diesel,5
Maruti Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015,278000.0,39000.0,Petrol,6
Hyundai Creta 1.6 SX Plus Petrol AT,Hyundai,2016,1000000.0,8000.0,Petrol,5
Mahindra Scorpio Vlx BSIV,Mahindra,2013,690000.0,75000.0,Diesel,8
Maruti Suzuki Ertiga VDi,Maruti,2012,480000.0,51000.0,Diesel,9
Mitsubishi Lancer 1.8 LXi,Mitsubishi,2006,85000.0,50000.0,Petrol,15
Maruti Suzuki Maruti 800 AC,Maruti,2001,40000.0,75000.0,Petrol,20
Maruti Suzuki Alto 800 LXI CNG O,Maruti,2015,90000.0,55800.0,Petrol,6
Hyundai Grand i10 Magna 1.2 Kappa VTVT,Hyundai,2015,340000.0,53000.0,Petrol,6
Hyundai Eon D Lite Plus,Hyundai,2018,260000.0,25000.0,Petrol,3
Ford Fiesta SXi 1.6 ABS,Ford,2009,250000.0,56400.0,Petrol,12
Maruti Suzuki Ritz VDi,Maruti,2010,180000.0,72160.0,Diesel,11
Hyundai Verna Fluidic New,Hyundai,2012,350000.0,10000.0,Diesel,9
Maruti Suzuki Wagon R LXi BS III,Maruti,2006,90001.0,48000.0,Petrol,15
Maruti Suzuki Estilo LX BS IV,Maruti,2007,115000.0,36000.0,Petrol,14
Audi A6 2.0 TDI Premium,Audi,2012,1599000.0,11500.0,Diesel,9
Maruti Suzuki Wagon R LXi BS III,Maruti,2003,130000.0,133000.0,Petrol,18
Maruti Suzuki Wagon R,Maruti,2009,159000.0,27000.0,Petrol,12
Maruti Suzuki Wagon R,Maruti,2009,160000.0,35000.0,Petrol,12
Maruti Suzuki Alto,Maruti,2010,110000.0,55000.0,Petrol,11
Maruti Suzuki Baleno Sigma 1.2,Maruti,2016,425000.0,40000.0,Petrol,5
Hyundai Verna 1.6 SX VTVT AT,Hyundai,2019,900000.0,2000.0,Petrol,2
Maruti Suzuki Swift GLAM,Maruti,2009,150000.0,45000.0,Petrol,12
Hyundai Getz Prime 1.3 GVS,Hyundai,2009,110000.0,20000.0,Petrol,12
Hyundai Santro,Hyundai,2000,51999.0,88000.0,Petrol,21
Hyundai Getz Prime 1.3 GLX,Hyundai,2009,115000.0,20000.0,Petrol,12
Chevrolet Beat PS Diesel,Chevrolet,2012,215000.0,65422.0,Diesel,9
Ford EcoSport Trend 1.5 Ti VCT,Ford,2017,580000.0,10000.0,Petrol,4
Maruti Suzuki Dzire ZXI,Maruti,2013,380000.0,35000.0,Petrol,8
Hyundai Fluidic Verna 1.6 CRDi SX,Hyundai,2013,350000.0,117000.0,Diesel,8
Tata Indica V2 DLG,Tata,2005,35000.0,150000.0,Diesel,16
BMW X1 xDrive20d xLine,BMW,2011,1150000.0,72000.0,Diesel,10
Hyundai i20 Asta 1.2,Hyundai,2010,300000.0,10750.0,Petrol,11
Honda City 1.5 V AT,Honda,2009,269000.0,55000.0,Petrol,12
Tata Nano,Tata,2013,60000.0,6800.0,Petrol,8
Chevrolet Cruze LTZ AT,Chevrolet,2014,400000.0,41000.0,Diesel,7
Hyundai Verna Fluidic New,Hyundai,2015,430000.0,73000.0,Diesel,6
Maruti Suzuki Swift Dzire VDi,Maruti,2011,140000.0,65000.0,Diesel,10
Mahindra XUV500 W6,Mahindra,2014,8500003.0,45000.0,Diesel,7
Mahindra XUV500 W10,Mahindra,2018,1299000.0,40000.0,Diesel,3
Maruti Suzuki Alto K10 LXi CNG,Maruti,2014,199000.0,37000.0,Petrol,7
Hyundai Accent GLE,Hyundai,2006,90000.0,55000.0,Petrol,15
Force Motors One SUV,Force,2013,550000.0,140000.0,Diesel,8
Maruti Suzuki Alto,Maruti,2019,265000.0,9800.0,Petrol,2
Chevrolet Spark 1.0 LT,Chevrolet,2011,100000.0,27000.0,Petrol,10
Hyundai i10,Hyundai,2009,215000.0,27000.0,Petrol,12
Toyota Etios Liva GD,Toyota,2012,380000.0,20000.0,Diesel,9
Renault Duster 85PS Diesel RxL Optional with Nav,Renault,2013,401919.0,57923.0,Diesel,8
Chevrolet Enjoy,Chevrolet,2014,490000.0,30201.0,Diesel,7
Maruti Suzuki Alto 800 Lxi,Maruti,2017,280000.0,6200.0,Petrol,4
BMW 5 Series 530i,BMW,2009,650000.0,37518.0,Petrol,12
Toyota Etios Liva G,Toyota,2014,160000.0,24652.0,Petrol,7
Mahindra Jeep MM 550 XDB,Mahindra,2004,424000.0,383.0,Diesel,17
Chevrolet Beat LS Diesel,Chevrolet,2016,225000.0,95000.0,Diesel,5
Chevrolet Cruze LTZ,Chevrolet,2011,350000.0,35000.0,Diesel,10
Jeep Wrangler Unlimited 4x4 Diesel,Jeep,2015,950000.0,3528.0,Diesel,6
Maruti Suzuki Ertiga VDi,Maruti,2013,485000.0,52500.0,Diesel,8
Hyundai Verna VGT CRDi SX ABS,Hyundai,2010,205000.0,47900.0,Diesel,11
Maruti Suzuki Omni,Maruti,2012,160000.0,14000.0,Petrol,9
Maruti Suzuki Celerio VDi,Maruti,2018,310000.0,37000.0,Petrol,3
Tata Zest Quadrajet 1.3,Tata,2017,180000.0,90000.0,Diesel,4
Mahindra XUV500 W6,Mahindra,2013,549900.0,52800.0,Diesel,8
Tata Indigo CS eLX BS IV,Tata,2016,150000.0,104000.0,Diesel,5
Hyundai i10 Era,Hyundai,2011,175000.0,30000.0,Petrol,10
Tata Indigo eCS LX TDI BS III,Tata,2014,95000.0,195000.0,Diesel,7
Tata Indigo LX TDI BS III,Tata,2016,230000.0,104000.0,Diesel,5
Tata Indigo eCS LX CR4 BS IV,Tata,2016,230000.0,104000.0,Diesel,5
Tata Indigo Marina LS,Tata,2004,180000.0,70000.0,Diesel,17
Hyundai Xcent SX 1.2,Hyundai,2015,400000.0,43000.0,Diesel,6
Hyundai Eon Magna Plus,Hyundai,2013,185000.0,23000.0,Petrol,8
Renault Duster 85 PS RxL Diesel,Renault,2015,385000.0,51000.0,Diesel,6
Maruti Suzuki Alto K10 LXi CNG,Maruti,2009,90000.0,62000.0,Petrol,12
Tata Nano LX Special Edition,Tata,2010,32000.0,48008.0,Petrol,11
Renault Duster 110 PS RxZ Diesel,Renault,2013,435000.0,39000.0,Diesel,8
Maruti Suzuki Wagon R AX BSIV,Maruti,2010,225000.0,40000.0,Petrol,11
Maruti Suzuki Swift,Maruti,2006,189700.0,48247.0,Petrol,15
Maruti Suzuki Ertiga,Maruti,2012,389700.0,39000.0,Diesel,9
Maruti Suzuki Swift VXi 1.2 ABS BS IV,Maruti,2014,365000.0,23000.0,Petrol,7
Maruti Suzuki Alto K10 New,Maruti,2017,360000.0,9400.0,Petrol,4
Hyundai i20 Magna,Hyundai,2010,210000.0,50000.0,Petrol,11
Hyundai i10 Magna 1.2,Hyundai,2009,170000.0,75000.0,Petrol,12
Tata Zest XE 75 PS Diesel,Tata,2017,380000.0,70000.0,Diesel,4
Mahindra Xylo E8,Mahindra,2009,295000.0,64000.0,Diesel,12
Toyota Corolla Altis GL Petrol,Toyota,2010,185000.0,55000.0,Petrol,11
Tata Manza Aqua Quadrajet,Tata,2014,160000.0,200000.0,Diesel,7
Renault Kwid 1.0,Renault,2018,290000.0,2137.0,Petrol,3
Tata Venture EX 8 STR,Tata,2013,100000.0,30000.0,Diesel,8
Maruti Suzuki Swift Dzire Tour LXi,Maruti,2014,315000.0,44000.0,Petrol,7
Skoda Octavia Classic 1.9 TDI MT,Skoda,2006,114990.0,65000.0,Diesel,15
Maruti Suzuki Omni LPG BS IV,Maruti,2012,120000.0,160000.0,LPG,9
Chevrolet Beat Diesel,Chevrolet,2011,125000.0,56000.0,Diesel,10
Tata Sumo Gold EX BS IV,Tata,2012,210000.0,75000.0,Diesel,9
Hyundai Verna 1.6 CRDI SX,Hyundai,2018,855000.0,42000.0,Diesel,3
Tata Sumo Gold EX BS IV,Tata,2012,210000.0,75000.0,Diesel,9
Mahindra Scorpio 2.6 CRDe,Mahindra,2007,260000.0,56000.0,Diesel,14
Maruti Suzuki Zen LXi BS III,Maruti,2002,95000.0,10544.0,Petrol,19
Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2011,255000.0,64000.0,Petrol,10
Mahindra Scorpio SLX 2.6 Turbo 8 Str,Mahindra,2008,300000.0,70000.0,Diesel,13
Hyundai Grand i10 Sportz 1.2 Kappa VTVT,Hyundai,2014,340000.0,25000.0,Petrol,7
Hyundai Elite i20 Sportz 1.2,Hyundai,2017,550000.0,15000.0,Petrol,4
Ford Ikon 1.6 Nxt,Ford,2003,60000.0,50000.0,Petrol,18
Toyota Innova 2.5 V 7 STR,Toyota,2011,750000.0,147000.0,Diesel,10
Nissan Sunny XL,Nissan,2011,230000.0,52000.0,Petrol,10
Chevrolet Beat LT Diesel,Chevrolet,2012,130000.0,90001.0,Diesel,9
Maruti Suzuki Alto 800 Lxi,Maruti,2017,270000.0,21000.0,Petrol,4
Maruti Suzuki Swift VDi BS IV,Maruti,2012,280000.0,48006.0,Diesel,9
Maruti Suzuki Swift VDi BS IV,Maruti,2012,280000.0,48006.0,Diesel,9
Maruti Suzuki Swift,Maruti,2012,280000.0,48006.0,Diesel,9
Toyota Innova 2.0 G4,Toyota,2012,600000.0,80000.0,Diesel,9
Maruti Suzuki Swift VDi ABS,Maruti,2010,190000.0,74000.0,Diesel,11
Hyundai Elite i20 Asta 1.2,Hyundai,2015,500000.0,22000.0,Petrol,6
Mahindra XUV500 W10,Mahindra,2016,1065000.0,41000.0,Diesel,5
Volkswagen Polo Trendline 1.5L D,Volkswagen,2015,350000.0,25000.0,Diesel,6
Toyota Etios Liva Diesel,Toyota,2012,350000.0,85000.0,Diesel,9
Mahindra TUV300 T4 Plus,Mahindra,2016,540000.0,29500.0,Diesel,5
Hyundai Elite i20 Asta 1.2,Hyundai,2015,470000.0,30000.0,Petrol,6
Hyundai Santro Xing GLS,Hyundai,2014,179000.0,57000.0,Petrol,7
Maruti Suzuki Zen LXi BS III,Maruti,2003,48000.0,60000.0,Petrol,18
Maruti Suzuki Ciaz ZXi Plus RS,Maruti,2016,650000.0,50000.0,Petrol,5
Hyundai Eon Era Plus,Hyundai,2013,190000.0,39700.0,Petrol,8
Hyundai Elantra 1.8 S,Hyundai,2012,500000.0,65000.0,Petrol,9
Maruti Suzuki Swift VDi,Maruti,2010,270000.0,67000.0,Diesel,11
Maruti Suzuki Zen Estilo LXI Green CNG,Maruti,2008,125000.0,46000.0,Petrol,13
Hyundai Eon Era Plus,Hyundai,2012,188000.0,38000.0,Petrol,9
Hyundai Grand i10 Magna 1.2 Kappa VTVT,Hyundai,2016,380000.0,27000.0,Petrol,5
Hyundai Verna Fluidic New,Hyundai,2011,365000.0,43000.0,Diesel,10
Ford EcoSport Trend 1.5L Ti VCT,Ford,2014,465000.0,47000.0,Petrol,7
Hyundai i20 Magna,Hyundai,2011,240000.0,42000.0,Petrol,10
Chevrolet Beat Diesel,Chevrolet,2016,179999.0,19336.0,Diesel,5
Tata Indica eV2 LS,Tata,2015,140000.0,60105.0,Diesel,6
Jaguar XF 2.2 Diesel Luxury,Jaguar,2013,2190000.0,29000.0,Diesel,8
Audi Q5 2.0 TDI quattro Premium Plus,Audi,2014,2390000.0,34000.0,Diesel,7
BMW 3 Series 320d Sedan,BMW,2011,1075000.0,35000.0,Diesel,10
Maruti Suzuki Swift ZXi 1.2 BS IV,Maruti,2015,475000.0,22000.0,Petrol,6
BMW X1 sDrive20d,BMW,2012,1025000.0,41000.0,Diesel,9
Maruti Suzuki S Cross Sigma 1.3,Maruti,2016,615000.0,21000.0,Diesel,5
Maruti Suzuki Ertiga LDi,Maruti,2013,475000.0,48000.0,Diesel,8
Maruti Suzuki Alto K10 VXi AMT,Maruti,2016,270000.0,38000.0,Petrol,5
Honda City SV,Honda,2014,475000.0,34000.0,Diesel,7
Volkswagen Vento Comfortline Petrol,Volkswagen,2011,240000.0,45933.0,Petrol,10
Honda City 1.5 EXi New,Honda,2005,120000.0,68000.0,Petrol,16
Audi A4 2.0 TDI 177bhp Premium,Audi,2016,1900000.0,44000.0,Diesel,5
Mahindra KUV100,Mahindra,2017,360000.0,35000.0,Diesel,4
Tata Zest XE 75 PS Diesel,Tata,2018,450000.0,102563.0,Diesel,3
Mahindra XUV500 W8,Mahindra,2015,900000.0,28600.0,Diesel,6
Maruti Suzuki Swift Dzire Tour VDi,Maruti,2017,650000.0,41800.0,Diesel,4
Tata Sumo Gold LX BS IV,Tata,2014,275000.0,116000.0,Diesel,7
Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2009,210000.0,59000.0,Petrol,12
Mahindra Scorpio 2.6 SLX,Mahindra,2004,175000.0,58000.0,Diesel,17
Maruti Suzuki Omni 8 STR BS III,Maruti,2009,85000.0,45000.0,Petrol,12
Mitsubishi Pajero Sport Limited Edition,Mitsubishi,2015,1490000.0,42590.0,Diesel,6
Renault Duster,Renault,2014,800000.0,7400.0,Diesel,7
Volkswagen Jetta Comfortline 1.9 TDI AT,Volkswagen,2009,450000.0,54500.0,Diesel,12
Maruti Suzuki Ertiga Vxi,Maruti,2012,1000000.0,200000.0,Diesel,9
Audi A4 2.0 TDI 177bhp Premium,Audi,2013,1510000.0,27000.0,Diesel,8
Volvo S80 Summum D4,Volvo,2015,1850000.0,42000.0,Diesel,6
Toyota Corolla Altis VL AT Petrol,Toyota,2014,790000.0,29000.0,Petrol,7
Mitsubishi Pajero Sport 2.5 AT,Mitsubishi,2015,1725000.0,37000.0,Diesel,6
Chevrolet Beat LT Petrol,Chevrolet,2012,135000.0,36000.0,Petrol,9
BMW X1,BMW,2011,1000000.0,34000.0,Diesel,10
Datsun Redi GO S,Datsun,2018,299999.0,7000.0,Petrol,3
Mercedes Benz C Class C 220 CDI Avantgarde,Mercedes,2009,1225000.0,76000.0,Diesel,12
Mahindra Scorpio SLX,Mahindra,2004,175000.0,60000.0,Diesel,17
Volkswagen Vento Comfortline Diesel,Volkswagen,2011,200000.0,95000.0,Diesel,10
Tata Indigo CS GLS,Tata,2017,270000.0,50000.0,Diesel,4
